id,character,outfit,Rarity,Type,group,AP cooldown,AP duration
77,Yukihana Lamy,Glacial Radiance,4,Happy,Gen 5,23,9
78,Momosuzu Nene,Adrenaline Surge,4,Happy,Gen 5,27,9
79,Shishiro Botan,Majestic Roar,4,Pure,Gen 5,30,11
80,Omaru Polka,Neon Party Riot,4,Cute,Gen 5,26,10
81,La+ Darknesss,Behold My Night,4,Pure,holoX,32,11
82,Takane Lui,Strategic Prodigy,4,Happy,holoX,25,8
83,Hakui Koyori,Howling Echo,4,Cute,holoX,22,9
84,Kazama Iroha,Mastered Essence,4,Pure,holoX,29,9
85,Ayunda Risu,Roundtail Rhythm,4,Pure,ID Gen 1,23,10
86,Moona Hoshinova,Moonlight Vocal Fusion,4,Happy,ID Gen 1,25,8
87,Airani Iofifteen,Serene Stage Vista,4,Happy,ID Gen 1,22,8
88,Kureiji Ollie,Deadly Encore,4,Cute,ID Gen 2,25,10
89,Anya Melfissa,Backstage Freebird,4,Happy,ID Gen 2,30,11
90,Pavolia Reine,Blessed Luxe Night,4,Pure,ID Gen 2,28,11
91,Vestia Zeta,Whimsical Glee,4,Cute,ID Gen 3,34,14
92,Kaela Kovalskia,Forge-Fire Fever,4,Pure,ID Gen 3,23,8
93,Kobo Kanaeru,Total Overdrive,4,Happy,ID Gen 3,23,10
94,Mori Calliope,Rep the Underworld,4,Cute,Myth,26,10
95,Takanashi Kiara,Utopian Happiness,4,Happy,Myth,27,10
96,Ninomae Ina'nis,Gentle Stage Beam,4,Cute,Myth,23,10
97,IRyS,Resonant Hope,4,Pure,Promise,31,10
98,Ouro Kronii,Eternal Starlight,4,Happy,Promise,30,10
99,Hakos Baelz,Infinite Groove,4,Happy,Promise,22,7
100,Shiori Novella,Unmasked Performance,4,Cute,Advent,29,10
101,Koseki Bijou,Radiant Innoence,4,Happy,Advent,17,6
102,Nerissa Ravencroft,Dusk Nightingale,4,Cute,Advent,28,9
103,Fuwawa Abyssgard,Velvet Cloud Calm,4,Pure,Advent,30,11
104,Mococo Abyssgard,Fuzzy Beam Joy,4,Pure,Advent,25,8
105,Otonose Kanade,Apex Harmony,4,Cute,ReGLOSS,25,10
106,Ichijou Ririka,Heart-Shot Pulse,4,Cute,ReGLOSS,30,11
107,Juufuutei Raden,Cultural Performer,4,Pure,ReGLOSS,16,5
108,Todoroki Hajime,She's the Boss,4,Pure,ReGLOSS,27,11
109,Tokino Sora,Rainbow's Devotion,5,Cute,Gen 0,24,10
110,Robocosan,High-Tech Victory V,5,Happy,Gen 0,18,8
111,AZKi,A Flower in Full Bloom,5,Pure,Gen 0,20,7
112,Sakura Miko,Sakura Bloom,5,Happy,Gen 0,15,6
113,Hohsimachi Suisei,Comet Heart Stealer,5,Pure,Gen 0,29,10
114,Aki Rosethal,Etheeal Half-Elf,5,Cute,Gen 1,21,8
115,Akai Haato,Snack-Time Rebel,5,Pure,Gen1,19,7
116,Shirakami Fubuki,Kitsune's Rite,5,Pure,"Gen 1, Gamers",30,11
117,Natsuiro Matsuri,Vivid Cheer Spirit,5,Happy,Gen1,23,8
118,Nakiri Ayame,Spirit Realm Lantern,5,Pure,Gen 2,29,10
119,Yuzuki Choco,Fatal Temptation,5,Happy,Gen 2,20,7
120,Oozora Subaru,Duckling Noon Jam,5,Cute,Gen 2,34,12
121,Ookami Mio,Calming Nightscape,5,Cute,Gamers,27,9
122,Nekomata Okayu,Secret Post-Feast,5,Cute,Gamers,25,10
123,Inugami Korone,Vibrant Skater,5,Happy,Gamers,17,6
124,Usada Pekora,Playful Rabbit Field ,5,Cute,Gen 3,30,12
125,Shiranui Flare,Elven Gale Gondola,5,Pure,Gen 3,26,9
126,Shirogane Neol,Gentle Breeze Knight,5,Happy,Gen 3,19,7
127,Houshou Marine,Siren Marine Blue,5,Happy,Gen 3,23,8
128,Tsunomaki Watame,Woolly Smile Festival,5,Cute,Gen 4,15,6
129,Tokoyami Towa,Eternal Night Out,5,Pure,Gen 4,19,8
130,Himemori Luna,Royal Loyal Noon,5,Happy,Gen 4,29,10
131,Yukihana Lamy,Lonely Snow Heiress,5,Pure,Gen 5,23,8
132,Momosuzu Nene,Pureheart Song,5,Cute,Gen 5,26,9
133,Shishiro Botan,Lion's Deadeye,5,Happy,Gen 5,27,9
134,Omaru Polka,Polka's Phantasm,5,Happy,Gen 5,21,8
135,La+ Darknesss,Commanding Genius,5,Happy,holoX,18,6
136,Takane Lui,Iron Executive,5,Cute,holoX,21,8
137,Hakui Koyori,Assistant's Muse,5,Pure,holoX,23,8
138,Kazama Iroha,Blade Flash,5,Cute,holoX,30,11
139,Ayunda Risu,Sylvan Mischief,5,Happy,ID Gen 1,34,15
140,Moona Hoshinova,Lunar Songstress,5,Cute,ID Gen 1,30,11
141,Airani Iofifteen,Sunlit Cosmos Palette,5,Pure,ID Gen 1,17,6
142,Kureiji Ollie,Eternal Z-Talker,5,Pure,ID Gen 2,25,10
143,Anya Melfissa,Couch Patato Gamer,5,Cute,ID Gen 2,24,10
144,Pavolia Reine,Royal Peafowl Brew,5,Happy,ID Gen 2,29,10
145,Vestia Zeta,Sunny Cat Syndicate,5,Happy,ID Gen 3,25,11
146,Kaela Kovalskia,Tempered Soul Forge,5,Cute,ID Gen 3,19,7
147,Kobo Kanaeru,Rain-Dance Orcale,5,Pure,ID Gen 3,15,6
148,Mori Calliope,Reaper's Death Flow,5,Pure,Myth,33,11
149,Takanashi Kiara,Lovely Phoenix Diner,5,Cute,Myth,23,8
150,Ninomae Ina'nis,Warm Up and Recharge,5,Pure,Myth,32,14
151,IRyS,Nephilim Sonority,5,Happy,Promise,25,11
152,Ouro Kronii,Clock Tower Warden,5,Cute,Promise,33,12
153,Hakos Baelz,Chaotic Powerful Rat,5,Pure,Promise,25,11
154,Shiori Novella,Library Inquisitor,5,Happy,Advent,32,11
155,Koseki Bijou,Prism Crystal Realm,5,Pure,Advent,27,9
156,Nerissa Ravencroft,Echoes of Nocturne,5,Pure,Advent,15,7
157,Fuwawa Abyssgard,Fluffy Donut Feast,5,Cute,Advent,20,8
158,Mococo Abyssgard,Leisurely Donut Feast,5,Cute,Advent,25,8
159,Otonose Kanade,Parade of Smiles,5,Pure,ReGLOSS,27,12
160,Ichijou Ririka,The CEO's Struggling Meal,5,Happy,ReGLOSS,30,11
161,Juufuutei Raden,Luminary of Arts,5,Happy,ReGLOSS,22,8
162,Todoroki Hajime,Bancho's Soft Grace,5,Cute,ReGLOSS,26,9
163,Oozora Subaru,Vibrant Sun Splash!,5,Pure,Gen 2,17,7
164,Shranui Flare,Sparks at Sunset,5,Happy,Gen 3,33,11
165,Shirogane Neol,Serene Wave Knight,5,Cute,Gen 3 ,21,7
166,Tsunomaki Watame,Flatie Float Time,5,Happy,Gen 4,35,12
167,Otonose Kanade,Breezy Smile Chords,5,Happy,ReGLOSS,23,8

